iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec, med_err_ra, med_err_dec
0000+212,   5, 22.5, 2008.64, 1996.01, 2018.50,   0.8306250068, 0.053, +21.4956967567, 0.145, 0.107, 0.214
0000-006,   2,  0.4, 2019.29, 2019.07, 2019.51,   0.7382305182, 0.059,  -0.4131320408, 0.570, 0.272, 0.636
0000-160,   4,  4.5, 2017.59, 2015.31, 2019.85,   0.8636006545, 0.138, -15.7848488058, 0.466, 0.230, 0.584
0000-197,   6, 22.4, 2010.80, 1997.50, 2019.85,   0.8278125941, 0.113, -19.4562099057, 0.255, 0.326, 0.656
0000-199,   5, 12.9, 2015.29, 2006.96, 2019.85,   0.8164558688, 0.116, -19.6973338838, 0.156, 0.234, 0.473
0001+459,   5, 22.9, 2013.27, 1996.61, 2019.51,   1.0671985349, 0.024, +46.2549918905, 0.075, 0.119, 0.159
0001+478,   4,  5.0, 2017.37, 2014.44, 2019.44,   0.9418398687, 0.560, +48.1178153703, 0.124, 0.367, 0.467
0001-120,   2,  0.0, 2004.34, 2004.33, 2004.35,   1.0204791949, 0.234, -11.8162181833, 0.664, 0.792, 1.403
0002+051,   8, 24.0, 2015.34, 1995.54, 2019.54,   1.3342312671, 0.081,  +5.4030008806, 0.173, 0.206, 0.320
0002+200,   5, 16.1, 2009.23, 2002.37, 2018.50,   1.1489928378, 0.056, +20.3284216189, 0.090, 0.161, 0.261
0002+541,   5, 23.7, 2011.48, 1994.61, 2018.27,   1.2681806037, 0.147, +54.4735901423, 0.090, 0.215, 0.185
0002-018,   2,  0.5, 2019.31, 2019.08, 2019.53,   1.2794658860, 0.012,  -1.5458708206, 0.202, 0.212, 0.546
0002-170,   3, 22.4, 2010.66, 1997.50, 2019.88,   1.3247240970, 0.082, -16.8012995235, 0.282, 0.179, 0.471
0002-350,   5,  5.0, 2017.44, 2014.61, 2019.63,   1.2746879216, 0.097, -34.7637931455, 0.456, 0.256, 0.641
0002-478,  68, 26.0, 2011.65, 1993.94, 2019.93,   1.1485644928, 0.072, -47.6054455553, 0.081, 0.347, 0.637
0003+123,   5, 12.0, 2015.24, 2007.03, 2019.07,   1.5960670044, 0.140, +12.5980827934, 0.087, 0.090, 0.173
0003+158,   4,  3.0, 2017.68, 2016.05, 2019.07,   1.4968240502, 0.052, +16.1636171600, 0.125, 0.111, 0.223
0003+340,   5,  7.5, 2016.46, 2011.97, 2019.44,   1.5307606717, 0.051, +34.3723349555, 0.095, 0.142, 0.302
0003+380,  30, 26.2, 2003.90, 1992.27, 2018.51,   1.4882307846, 0.049, +38.3375413915, 0.034, 0.207, 0.195
0003-066,1725, 33.4, 2007.00, 1988.04, 2021.48,   1.5578870186, 0.006,  -6.3931486827, 0.009, 0.260, 0.466
0003-302,   5, 17.1, 2014.42, 2002.37, 2019.51,   1.5046806527, 0.133, -29.9305824758, 0.134, 0.354, 0.824
0004+240,   5, 22.5, 2008.64, 1996.01, 2018.50,   1.7032891808, 0.026, +24.3767755922, 0.098, 0.085, 0.170
0005+021,   3,  0.8, 2019.51, 2019.08, 2019.91,   1.9326675930, 0.497,  +2.4422910329, 0.890, 0.695, 2.130
0005+114,   5, 16.7, 2014.31, 2002.37, 2019.08,   2.0034927270, 0.071, +11.7335485653, 0.113, 0.195, 0.316
0005+568,   5, 24.8, 2012.71, 1994.61, 2019.44,   1.9519525896, 0.071, +57.1028998077, 0.114, 0.154, 0.149
0005+683,   6, 24.3, 2012.08, 1995.30, 2019.63,   2.1394701609, 0.694, +68.6227913235, 0.090, 0.380, 0.429
0005-239,   8, 22.0, 2011.78, 1997.50, 2019.51,   2.0015400654, 0.088, -23.6550416833, 0.224, 0.294, 0.569
0005-262,   6, 22.0, 2010.82, 1997.50, 2019.51,   2.1093854134, 0.078, -25.9865390877, 0.181, 0.386, 0.923
0006+061,   5, 16.5, 2013.16, 2002.37, 2018.84,   2.2663827032, 0.073,  +6.4725667403, 0.139, 0.138, 0.283
0006+397,   5, 23.1, 2013.23, 1996.44, 2019.51,   2.2673899283, 0.122, +40.0296404725, 0.060, 0.140, 0.164
0006+771,   4,  2.0, 2018.16, 2017.32, 2019.30,   2.4295498239, 1.116, +77.4116679012, 0.290, 0.584, 0.476
0006-363,   6, 14.2, 2014.91, 2005.50, 2019.72,   2.1402546570, 0.373, -36.0236206878, 0.913, 0.727, 2.067
0007+016,   5,  1.4, 2018.92, 2018.14, 2019.53,   2.4944071754, 0.139,  +1.9653193233, 0.236, 0.303, 0.557
0007+171,  29, 28.3, 2002.10, 1990.11, 2018.38,   2.6416276412, 0.149, +17.4052114781, 0.059, 0.294, 0.329
0007+205,   4,  4.9, 2017.41, 2014.42, 2019.30,   2.6197626860, 0.069, +20.7971634484, 0.126, 0.179, 0.373
0007+439,   5, 12.5, 2015.34, 2006.96, 2019.51,   2.6251936254, 0.097, +44.2118069327, 0.107, 0.129, 0.182
0007+757,   4,  2.0, 2018.17, 2017.32, 2019.30,   2.4509760478, 1.545, +76.0550457040, 0.300, 0.876, 0.529
0007-048,   7,  4.7, 2016.92, 2015.22, 2019.95,   2.5016194312, 0.051,  -4.5634741003, 0.126, 0.142, 0.280
0007-325,   6, 10.4, 2016.78, 2009.37, 2019.72,   2.3981573187, 0.074, -32.2769248017, 0.255, 0.264, 0.600
0008+006,   6,  5.2, 2018.11, 2014.44, 2019.63,   2.8766800798, 0.035,  +0.9644102856, 0.147, 0.096, 0.207
0008+704,   5, 24.0, 2013.05, 1995.30, 2019.30,   2.8829284683, 0.159, +70.7587849658, 0.079, 0.143, 0.109
0008-222,   5, 20.9, 2009.09, 1997.50, 2018.42,   2.7235416052, 0.072, -21.9511722609, 0.196, 0.112, 0.298
0008-264, 358, 33.3, 2015.51, 1988.12, 2021.39,   2.7551947512, 0.017, -26.2092714120, 0.019, 0.491, 0.372
0008-300,   4, 12.6, 2015.58, 2006.96, 2019.53,   2.6882389734, 0.157, -29.7536604739, 0.399, 0.266, 0.888
0008-307,   5, 17.6, 2014.50, 2002.09, 2019.72,   2.6489258599, 0.100, -30.4631718199, 0.137, 0.136, 0.368
0008-311,   5,  7.6, 2017.38, 2012.11, 2019.72,   2.6454572038, 0.183, -30.9042501223, 0.189, 0.336, 0.858
0008-421,  11, 28.3, 2010.58, 1990.74, 2019.07,   2.7188229101, 1.277, -41.8863276507, 1.783, 0.821, 2.605
0009+081,   7, 23.3, 2014.73, 1995.54, 2018.88,   2.8969567069, 0.043,  +8.3987739511, 0.064, 0.109, 0.165
0009+467,   5, 14.0, 2015.07, 2005.55, 2019.51,   3.1220953813, 0.039, +47.0763160744, 0.160, 0.163, 0.189
0009+655,   5, 15.2, 2014.92, 2004.40, 2019.63,   3.1569622828, 2.152, +65.8530063815, 0.521, 0.517, 0.501
0009-148,  10, 14.4, 2018.56, 2007.03, 2021.47,   2.9185660554, 0.146, -14.5679541397, 0.119, 0.652, 0.454
