iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
0001-120,   2,   3,   2,   2,   1.020, -11.816,,,,,
0002+051,   5,   0,   0,   0,   1.334,   5.403,  +0.01410,  -0.04180, 0.08816, 0.10555, 0.06298
0002+541,   1,   4,   4,   0,   1.268,  54.474,,,,,
0002-478,  46,  13,  10,  10,   1.149, -47.605,  -0.00919,  -0.05494, 0.01247, 0.02718, 0.12705
0003+380,  21,   9,   6,   7,   1.488,  38.338,  -0.01175,  +0.00164, 0.01860, 0.02153,-0.12823
0003-066,1304, 332, 237, 215,   1.558,  -6.393,  +0.00005,  -0.00235, 0.00130, 0.00219,-0.02746
0005+683,   3,   2,   2,   0,   2.139,  68.623,,,,,
0005-239,   1,   5,   2,   5,   2.002, -23.655,,,,,
0006+061,   5,   0,   0,   0,   2.266,   6.473,  -0.03870,  +0.01375, 0.02780, 0.07069, 0.01926
0006-363,   4,   1,   1,   1,   2.140, -36.024,,,,,
0007+106,  76,  20,  17,  10,   2.629,  10.975,  +0.00760,  -0.00049, 0.00943, 0.01567,-0.07670
0007+171,  25,   4,   3,   3,   2.642,  17.405,  +0.05723,  -0.06439, 0.01155, 0.01800,-0.15538
0007-048,   1,   5,   2,   3,   2.502,  -4.563,,,,,
0008-264, 189, 142,  97, 112,   2.755, -26.209,  +0.00388,  -0.01336, 0.00719, 0.00992,-0.18161
0008-421,   3,   6,   5,   5,   2.719, -41.886,,,,,
0009+081,   4,   3,   1,   2,   2.897,   8.399,,,,,
0009-148,   7,   1,   0,   1,   2.919, -14.568,  -0.01376,  -0.02133, 0.06042, 0.06336, 0.17388
0010+405,  61,  29,  18,  20,   3.380,  40.860,  -0.00223,  +0.01394, 0.00572, 0.00799, 0.00479
0010-401,   8,   6,   5,   5,   3.250, -39.907,  +0.07645,  +0.00652, 0.03824, 0.07349, 0.08068
0011+189,   3,   2,   2,   1,   3.485,  19.178,,,,,
0011-046,   2,   3,   2,   1,   3.476,  -4.398,,,,,
0013-005,  59,  17,  12,  11,   4.046,  -0.253,  -0.00009,  -0.00375, 0.00514, 0.00667,-0.36605
0014+813,1132, 153,  83, 112,   4.285,  81.586,  -0.00049,  -0.00106, 0.00149, 0.00175, 0.07648
0015-054,   1,   6,   6,   5,   4.399,  -5.212,,,,,
0016+731, 762, 301, 206, 197,   4.941,  73.458,  -0.00665,  +0.00197, 0.00099, 0.00100,-0.03620
0017+200, 186, 227, 165, 156,   4.908,  20.363,  -0.00411,  +0.00216, 0.00532, 0.00689,-0.04949
0017+257,   2,   3,   1,   2,   4.916,  26.048,,,,,
0019+058, 288, 127,  98,  92,   5.635,   6.135,  +0.00186,  -0.00646, 0.00333, 0.00548, 0.00717
0019+451,   2,   3,   2,   2,   5.528,  45.426,,,,,
0021+243,   5,   1,   0,   1,   6.114,  24.657,  -0.03152,  -0.02103, 0.01932, 0.03224, 0.10697
0022-423,   5,   6,   6,   3,   6.179, -42.034,  +0.08731,  +0.04610, 0.11032, 0.09060,-0.45588
0023-354,   3,   4,   4,   0,   6.568, -35.214,,,,,
0024+224,   3,   3,   2,   2,   6.814,  22.699,,,,,
0024+597,   5,   0,   0,   0,   6.764,  59.981,  -0.04073,  -0.02835, 0.02693, 0.03021, 0.10924
0025+197,  86,  45,  37,  20,   7.124,  20.007,  -0.00998,  -0.02454, 0.00841, 0.01206,-0.06902
0026+346,   7,  10,   8,   6,   7.309,  34.942,  +0.02802,  +0.03688, 0.01955, 0.02123, 0.32439
0027+056,   6,   0,   0,   0,   7.441,   5.911,  -0.02532,  -0.02477, 0.03264, 0.04126, 0.32837
0028-396,   2,   3,   2,   2,   7.851, -39.380,,,,,
0034+108,   1,   4,   0,   4,   9.359,  11.164,,,,,
0035+413,  43,  11,   8,   6,   9.604,  41.618,  -0.01693,  -0.00768, 0.01032, 0.00938,-0.02810
0035-037,   2,   3,   2,   3,   9.587,  -3.500,,,,,
0035-252, 103,   9,   6,   4,   9.561, -24.984,  -0.00863,  +0.00030, 0.00916, 0.01742,-0.04224
0037+139,   5,   3,   2,   3,   9.915,  14.199,  +0.02810,  -0.16627, 0.07967, 0.18064,-0.25610
0037-329,   4,   1,   1,   1,  10.073, -32.724,,,,,
0037-593,  10,   0,   0,   0,  10.033, -59.065,  +0.30297,  -0.51627, 0.21092, 0.55052,-0.33111
0038-020,   0,   6,   3,   4,  10.240,  -1.776,,,,,
0038-326,   6,   0,   0,   0,  10.128, -32.422,  +0.00927,  +0.00744, 0.11088, 0.27744,-0.49115
0039+230,  20,   4,   2,   2,  10.519,  23.334,  -0.00298,  +0.00594, 0.01281, 0.02011,-0.05619
0039+568,   1,   5,   5,   1,  10.581,  57.143,,,,,
0044+566,   1,   4,   4,   0,  11.752,  56.962,,,,,
0044-846,   1,   5,   3,   4,  11.111, -84.378,,,,,
0046+316,  20,   6,   4,   4,  12.196,  31.957,  -0.00885,  -0.02476, 0.01339, 0.02425,-0.05105
0046+511,   3,   5,   5,   2,  12.408,  51.470,,,,,
0047+023,  25,   8,   5,   6,  12.430,   2.618,  -0.00387,  +0.00087, 0.01376, 0.02401, 0.14796
0047-579,  34,   4,   4,   0,  12.498, -57.641,  -0.00305,  +0.00005, 0.01387, 0.02472, 0.32917
0048-097,1605, 277, 198, 186,  12.672,  -9.485,  -0.00160,  -0.00420, 0.00109, 0.00172,-0.06770
0048-427, 122,  60,  40,  44,  12.790, -42.443,  +0.01024,  +0.00350, 0.00971, 0.01490,-0.02153
0049+437,   5,   0,   0,   0,  13.116,  44.048,  -0.01333,  -0.01594, 0.03102, 0.04360,-0.16779
0051+679,   3,   2,   1,   2,  13.573,  68.186,,,,,
