iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
0000-197,   6,   0,   0,   0,   0.828, -19.456,  +0.00155,  -0.05967, 0.01175, 0.02519,-0.18945
0000-199,   5,   0,   0,   0,   0.816, -19.697,  +0.08841,  -0.16760, 0.03346, 0.08745,-0.21874
0001+459,   5,   0,   0,   0,   1.067,  46.255,  -0.00259,  +0.03123, 0.00624, 0.01711, 0.08391
0001-120,   5,   0,   0,   0,   1.020, -11.816,  +0.00946,  -0.03092, 0.00388, 0.00889,-0.16619
0002+051,   7,   1,   0,   1,   1.334,   5.403,  -0.01034,  -0.00859, 0.04982, 0.06448, 0.02944
0002+200,   5,   0,   0,   0,   1.149,  20.328,  -0.01176,  +0.02458, 0.00886, 0.01274, 0.03845
0002+541,   2,   3,   3,   0,   1.268,  54.474,,,,,
0002-170,   5,   0,   0,   0,   1.325, -16.801,  -0.01034,  +0.03022, 0.01126, 0.02687,-0.53436
0002-350,   5,   0,   0,   0,   1.275, -34.764,  -0.02178,  +0.23759, 0.07356, 0.23113, 0.35260
0002-478,  56,  12,  12,   1,   1.149, -47.605,  -0.00880,  -0.00858, 0.00555, 0.01434, 0.25375
0003+123,   4,   1,   1,   0,   1.596,  12.598,,,,,
0003+380,  24,   6,   5,   1,   1.488,  38.338,  -0.00597,  +0.00243, 0.00444, 0.00753,-0.14618
0003-066,1573, 145,  73,  98,   1.558,  -6.393,  +0.00082,  -0.00312, 0.00070, 0.00091,-0.03210
0003-302,   5,   0,   0,   0,   1.505, -29.931,  +0.02989,  -0.11435, 0.05500, 0.14039, 0.64175
0005+114,   5,   0,   0,   0,   2.003,  11.734,  -0.03086,  -0.01654, 0.02744, 0.04092,-0.15400
0005+568,   4,   1,   0,   1,   1.952,  57.103,,,,,
0005+683,   4,   2,   2,   0,   2.139,  68.623,,,,,
0005-239,   7,   1,   0,   1,   2.002, -23.655,  -0.02711,  +0.04130, 0.01187, 0.02709,-0.68391
0005-262,   6,   0,   0,   0,   2.109, -25.987,  -0.00341,  +0.02097, 0.01390, 0.03732, 0.32211
0006+061,   5,   0,   0,   0,   2.266,   6.473,  -0.00988,  +0.04854, 0.01317, 0.02928, 0.09503
0006+397,   4,   1,   1,   0,   2.267,  40.030,,,,,
0006-363,   6,   0,   0,   0,   2.140, -36.024,  -0.24887,  +0.03384, 0.11141, 0.51996, 0.52769
0007+171,  18,  12,  12,   0,   2.642,  17.405,  +0.04229,  -0.00868, 0.01473, 0.02663, 0.17131
0007+439,   5,   0,   0,   0,   2.625,  44.212,  +0.01777,  +0.08066, 0.02177, 0.06292, 0.16481
0007-048,   7,   0,   0,   0,   2.502,  -4.563,  -0.05143,  -0.06547, 0.03497, 0.07541,-0.01933
0007-325,   6,   0,   0,   0,   2.398, -32.277,  -0.03922,  +0.03601, 0.03153, 0.07514,-0.72705
0008+006,   4,   1,   0,   1,   2.877,   0.964,,,,,
0008+704,   3,   2,   2,   0,   2.883,  70.759,,,,,
0008-222,   5,   0,   0,   0,   2.724, -21.951,  -0.00660,  +0.00209, 0.00870, 0.02339,-0.25013
0008-264, 332,  20,  11,  12,   2.755, -26.209,  -0.01238,  +0.04594, 0.00602, 0.00834,-0.15064
0008-307,   5,   0,   0,   0,   2.649, -30.463,  -0.05665,  +0.04981, 0.03047, 0.08619, 0.43305
0008-311,   5,   0,   0,   0,   2.645, -30.904,  +0.05911,  -0.03680, 0.03673, 0.11361,-0.12399
0008-421,   4,   7,   6,   4,   2.719, -41.886,,,,,
0009+081,   8,   0,   0,   0,   2.897,   8.399,  -0.00982,  -0.02684, 0.01037, 0.02080,-0.35967
0009+467,   5,   0,   0,   0,   3.122,  47.076,  -0.01082,  -0.05430, 0.02748, 0.06681,-0.23230
0009+655,   2,   3,   3,   1,   3.157,  65.853,,,,,
0009-148,   9,   0,   0,   0,   2.919, -14.568,  -0.01274,  -0.05486, 0.03030, 0.04816, 0.17028
0010+336,   5,   0,   0,   0,   3.197,  33.894,  -0.04483,  +0.03845, 0.01571, 0.03185,-0.50259
0010+405,  89,   6,   5,   1,   3.380,  40.860,  +0.00132,  +0.00413, 0.00165, 0.00318,-0.18129
0010+463,   5,   0,   0,   0,   3.319,  46.602,  -0.02991,  +0.05103, 0.02879, 0.04455,-0.43316
0010-155,   5,   0,   0,   0,   3.336, -15.230,  +0.00834,  -0.06828, 0.02393, 0.05813,-0.10177
0010-401,  17,   2,   1,   1,   3.250, -39.907,  +0.00370,  +0.08882, 0.01499, 0.04773, 0.24873
