iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
0001-120,   4,   1,   0,   1,   1.020, -11.816,,,,,
0002+051,   5,   0,   0,   0,   1.334,   5.403,  +0.01410,  -0.04180, 0.08816, 0.10555, 0.06298
0002+541,   4,   1,   1,   0,   1.268,  54.474,,,,,
0002-478,  43,  16,   7,  13,   1.149, -47.605,  -0.02438,  -0.05138, 0.01329, 0.02844, 0.10579
0003+380,  25,   5,   3,   3,   1.488,  38.338,  -0.01304,  +0.00203, 0.01468, 0.01764,-0.11825
0003-066,1378, 258, 169, 175,   1.558,  -6.393,  +0.00311,  -0.00188, 0.00133, 0.00224,-0.02622
0005+683,   5,   0,   0,   0,   2.139,  68.623,  -0.53424,  +0.03835, 0.20310, 0.16196,-0.15835
0005-239,   1,   5,   2,   4,   2.002, -23.655,,,,,
0006+061,   5,   0,   0,   0,   2.266,   6.473,  -0.03870,  +0.01375, 0.02780, 0.07069, 0.01926
0006-363,   4,   1,   1,   1,   2.140, -36.024,,,,,
0007+106,  82,  14,   9,  11,   2.629,  10.975,  -0.01225,  +0.00114, 0.01042, 0.01756,-0.10218
0007+171,  23,   6,   3,   4,   2.642,  17.405,  +0.05486,  -0.07625, 0.01254, 0.01981,-0.17857
0007-048,   3,   3,   2,   1,   2.502,  -4.563,,,,,
0008-264, 219, 112,  74,  82,   2.755, -26.209,  +0.00266,  -0.01016, 0.00872, 0.01251,-0.15453
0008-421,   1,   8,   5,   7,   2.719, -41.886,,,,,
0009+081,   6,   1,   0,   1,   2.897,   8.399,  +0.01388,  -0.01458, 0.03590, 0.06311,-0.17698
0009-148,   8,   0,   0,   0,   2.919, -14.568,  -0.04405,  +0.00443, 0.09679, 0.10350, 0.18034
0010+405,  72,  18,  11,  12,   3.380,  40.860,  +0.00125,  +0.01391, 0.00683, 0.00941,-0.02702
0010-401,   9,   5,   4,   2,   3.250, -39.907,  +0.09234,  -0.04756, 0.07114, 0.13346, 0.09005
0011+189,   4,   1,   1,   1,   3.485,  19.178,,,,,
0011-046,   3,   2,   1,   1,   3.476,  -4.398,,,,,
0013-005,  63,  13,  10,  11,   4.046,  -0.253,  -0.01346,  +0.01163, 0.00555, 0.00804,-0.17343
0014+813,1196,  89,  51,  69,   4.285,  81.586,  -0.00123,  -0.00709, 0.00151, 0.00174, 0.06035
0015-054,   1,   6,   6,   5,   4.399,  -5.212,,,,,
0016+731, 884, 179, 119, 122,   4.941,  73.458,  -0.00770,  +0.00143, 0.00118, 0.00119,-0.03557
0017+200, 253, 160, 110, 106,   4.908,  20.363,  -0.00069,  -0.00534, 0.00640, 0.00814,-0.04527
0017+257,   4,   1,   0,   1,   4.916,  26.048,,,,,
0019+058, 312, 103,  70,  73,   5.635,   6.135,  +0.00162,  -0.00725, 0.00394, 0.00646, 0.01437
0019+451,   3,   2,   1,   1,   5.528,  45.426,,,,,
0021+243,   5,   1,   0,   1,   6.114,  24.657,  -0.03152,  -0.02103, 0.01932, 0.03224, 0.10697
0022-423,   4,   7,   6,   5,   6.179, -42.034,,,,,
0023-354,   4,   3,   3,   0,   6.568, -35.214,,,,,
0024+224,   4,   2,   2,   1,   6.814,  22.699,,,,,
0024+597,   5,   0,   0,   0,   6.764,  59.981,  -0.04073,  -0.02835, 0.02693, 0.03021, 0.10924
0025+197, 107,  24,  18,  12,   7.124,  20.007,  -0.00067,  -0.02324, 0.01020, 0.01474,-0.06804
0026+346,   9,   8,   6,   6,   7.309,  34.942,  +0.00859,  +0.02252, 0.03185, 0.03447, 0.31533
0027+056,   6,   0,   0,   0,   7.441,   5.911,  -0.02532,  -0.02477, 0.03264, 0.04126, 0.32837
0028-396,   3,   2,   2,   2,   7.851, -39.380,,,,,
0034+108,   2,   3,   0,   3,   9.359,  11.164,,,,,
0035+413,  50,   4,   3,   4,   9.604,  41.618,  -0.03646,  -0.00595, 0.01117, 0.01018,-0.00279
0035-037,   3,   2,   1,   2,   9.587,  -3.500,,,,,
0035-252,  98,  14,   9,   6,   9.561, -24.984,  -0.01067,  -0.01206, 0.00944, 0.01763,-0.01789
0037+139,   7,   1,   0,   1,   9.915,  14.199,  +0.06963,  +0.13417, 0.02168, 0.03658,-0.29667
0037-329,   4,   1,   0,   1,  10.073, -32.724,,,,,
0037-593,   5,   5,   2,   4,  10.033, -59.065,  -0.73679,  +0.75505, 0.89165, 0.99283,-0.37156
0038-020,   4,   2,   0,   2,  10.240,  -1.776,,,,,
0038-326,   5,   1,   0,   1,  10.128, -32.422,  +0.09743,  -0.20052, 0.14136, 0.34261,-0.63754
0039+230,  22,   2,   2,   0,  10.519,  23.334,  -0.00689,  +0.03252, 0.01222, 0.02034,-0.05563
0039+568,   2,   4,   4,   1,  10.581,  57.143,,,,,
0044+566,   2,   3,   3,   0,  11.752,  56.962,,,,,
0044-846,   2,   4,   3,   3,  11.111, -84.378,,,,,
0046+316,  26,   0,   0,   0,  12.196,  31.957,  +0.02559,  +0.01882, 0.00899, 0.01263, 0.15048
0046+511,   5,   3,   3,   0,  12.408,  51.470,  +0.00518,  -0.06672, 0.04079, 0.05788,-0.24083
0047+023,  25,   8,   5,   7,  12.430,   2.618,  +0.01690,  +0.01358, 0.01579, 0.02832, 0.09602
0047-579,  33,   5,   3,   2,  12.498, -57.641,  -0.01337,  -0.00828, 0.01415, 0.02459, 0.26561
0048-097,1623, 259, 169, 178,  12.672,  -9.485,  -0.00158,  -0.00455, 0.00118, 0.00187,-0.07590
0048-427, 136,  46,  27,  36,  12.790, -42.443,  +0.01396,  -0.00082, 0.01109, 0.01756, 0.00607
0049+437,   5,   0,   0,   0,  13.116,  44.048,  -0.01333,  -0.01594, 0.03102, 0.04360,-0.16779
0051+679,   4,   1,   0,   1,  13.573,  68.186,,,,,
0054+161, 130,  33,  21,  21,  14.230,  16.420,  +0.03496,  +0.02089, 0.01238, 0.01625, 0.08059
0054-006,   4,   2,   0,   2,  14.321,  -0.409,,,,,
0055+060,   5,   0,   0,   0,  14.641,   6.335,  +0.08970,  +0.08914, 0.10643, 0.22268,-0.24417
0055+300,  19,   5,   4,   1,  14.454,  30.352,  -0.01425,  -0.02154, 0.00961, 0.00907, 0.38040
0055-059,  96,  34,  19,  23,  14.521,  -5.665,  -0.02622,  -0.00250, 0.00808, 0.01437,-0.07831
0056-001,  13,   7,   2,   5,  14.773,   0.114,  -0.00125,  -0.03977, 0.02147, 0.03259,-0.40097
0056-572,   5,  11,  11,   3,  14.694, -56.987,  +0.19633,  +0.16086, 0.03287, 0.05994, 0.29285
0059+163,   4,   1,   0,   1,  15.490,  16.661,,,,,
0059+581,2459, 367, 262, 264,  15.691,  58.403,  -0.00138,  -0.00429, 0.00062, 0.00070, 0.01838
0103+057,   1,   4,   4,   4,  16.497,   6.016,,,,,
0103+127,   3,   2,   0,   2,  16.639,  13.001,,,,,
0104-275,  10,   1,   1,   1,  16.609, -27.303,  -0.00326,  +0.03164, 0.03703, 0.07550,-0.08376
0104-408,1328, 319, 206, 229,  16.688, -40.572,  +0.00281,  -0.00490, 0.00151, 0.00247, 0.05183
0106+013,1140, 754, 359, 634,  17.162,   1.583,  +0.01114,  -0.00732, 0.00144, 0.00312,-0.05092
0107-610,  40,  11,   5,  10,  17.314, -60.830,  +0.00189,  -0.03512, 0.01303, 0.02251, 0.03170
0108+388,   5,   8,   5,   5,  17.905,  39.108,  +0.00591,  -0.00252, 0.01585, 0.01786, 0.03710
0109+224, 145,  22,  15,  15,  18.024,  22.744,  -0.00095,  -0.00134, 0.00427, 0.00615, 0.06436
0110+495,  53,  14,   6,  11,  18.363,  49.807,  -0.00570,  +0.01238, 0.00700, 0.00846,-0.13257
0110-668,  12,   1,   0,   1,  18.079, -66.579,  +0.11268,  +0.00565, 0.06156, 0.09114, 0.31571
0111+021, 254,  38,  26,  27,  18.430,   2.371,  +0.00557,  -0.00164, 0.00179, 0.00226,-0.07017
0112-017,  24,  13,   3,  12,  18.821,  -1.451,  -0.01780,  -0.00156, 0.01045, 0.01101,-0.43260
0113-118,  19,  14,   7,   9,  19.052, -11.604,  -0.01370,  -0.04609, 0.01228, 0.01703,-0.47186
0113-283,   6,   1,   1,   0,  18.850, -28.082,  -0.03095,  +0.12365, 0.04640, 0.09496,-0.16079
0114+140,   6,   1,   0,   1,  19.355,  14.303,  +0.01990,  -0.07025, 0.05937, 0.06809,-0.13991
0115-214, 215,  99,  64,  79,  19.453, -21.185,  -0.00304,  -0.01457, 0.01108, 0.01359, 0.02333
0116+319,   1,   4,   4,   2,  19.896,  32.181,,,,,
0116-219,  57,  35,  19,  28,  19.739, -21.692,  +0.02926,  -0.02683, 0.01378, 0.01888, 0.07114
0118-272,  21,   4,   2,   2,  20.132, -27.024,  -0.10106,  +0.04660, 0.05074, 0.06098,-0.08702
0119+041,1495, 341, 206, 258,  20.487,   4.374,  -0.00685,  +0.00351, 0.00134, 0.00253,-0.05676
0119+115,1412, 231, 153, 147,  20.423,  11.831,  +0.00884,  +0.03135, 0.00125, 0.00259, 0.05393
0119+247,   6,   0,   0,   0,  20.662,  25.042,  +0.00825,  -0.00131, 0.01510, 0.03264,-0.11693
0122-003,  10,   1,   0,   1,  21.370,  -0.099,  +0.03856,  -0.00058, 0.01795, 0.03639,-0.13598
0122-514,   9,   1,   1,   0,  21.239, -51.221,  +0.16407,  -0.09966, 0.12577, 0.31683, 0.32328
0123+257,  30,   6,   2,   5,  21.678,  25.984,  +0.00405,  -0.00205, 0.01381, 0.02243, 0.04033
0127+084,   5,   1,   0,   1,  22.615,   8.713,  -0.01993,  -0.03585, 0.01565, 0.02895,-0.04104
0127+145,   5,   2,   0,   2,  22.481,  14.780,  +0.01102,  +0.03958, 0.03221, 0.05718,-0.34942
0130-171,  32,   9,   6,   5,  23.181, -16.913,  +0.03573,  +0.08474, 0.01509, 0.02740, 0.10318
0130-447,   0,   5,   5,   5,  23.254, -44.512,,,,,
0131-522, 330, 146,  97,  96,  23.274, -52.001,  -0.03674,  -0.00010, 0.00869, 0.01422, 0.23874
0132-389,   2,   3,   0,   3,  23.633, -38.726,,,,,
0133+476,1808, 296, 201, 202,  24.244,  47.858,  +0.00692,  +0.00090, 0.00082, 0.00101,-0.00655
0134+311, 317,  62,  45,  37,  24.286,  31.377,  +0.00072,  +0.02428, 0.00654, 0.00897, 0.10663
0134+329,  16,  20,   6,  18,  24.422,  33.160,  +0.24493,  +0.27762, 0.35872, 0.32149, 0.10911
0135-247,  32,   8,   5,   5,  24.410, -24.515,  +0.02119,  +0.02212, 0.02008, 0.02949, 0.00832
0136+176,   5,   0,   0,   0,  24.925,  17.885,  -0.03045,  +0.03447, 0.05537, 0.08755,-0.26963
0136-059,   7,   0,   0,   0,  24.716,  -5.669,  +0.02841,  -0.02827, 0.02469, 0.04981, 0.07184
0137+012,  26,   7,   6,   3,  24.989,   1.529,  +0.00788,  +0.06663, 0.06237, 0.08161,-0.09368
0138-097,  55,  31,  21,  27,  25.358,  -9.479,  +0.01261,  -0.00683, 0.00953, 0.01518,-0.04266
0142-278,  10,   3,   2,   2,  26.264, -27.560,  +0.02008,  +0.00669, 0.03766, 0.07693,-0.04915
0144+209,   3,   2,   2,   2,  26.745,  21.173,,,,,
0144+584,   7,   1,   0,   1,  26.944,  58.679,  -0.00264,  +0.07633, 0.06384, 0.07726, 0.03800
0146+056,  47,   7,   3,   7,  27.343,   5.932,  -0.00151,  +0.02531, 0.00934, 0.02191, 0.05672
0148+274,  23,   1,   1,   1,  27.863,  27.745,  +0.00680,  +0.00623, 0.00904, 0.01699,-0.26697
0149+218,  70,  24,  17,  16,  28.075,  22.119,  +0.00253,  -0.00437, 0.00532, 0.00637,-0.20452
0150-144,   5,   5,   2,   3,  28.133, -14.211,  -0.00994,  +0.02468, 0.06643, 0.10162, 0.02839
0150-334,  23,   3,   2,   2,  28.292, -33.174,  +0.04735,  -0.16502, 0.03937, 0.09243, 0.16798
0151+474, 141,  57,  43,  36,  28.735,  47.724,  -0.00599,  +0.00037, 0.00515, 0.00639, 0.00689
0152+043,   4,   1,   0,   1,  28.766,   4.642,,,,,
0153+744,  19,   7,   4,   6,  29.396,  74.712,  +0.02704,  -0.04739, 0.02514, 0.02366, 0.07347
0153-410,   6,   4,   2,   3,  28.904, -40.812,  -0.22156,  +0.15662, 0.40981, 0.26297,-0.38403
0156+128,   6,   0,   0,   0,  29.734,  13.117,  +0.00258,  -0.05856, 0.02442, 0.05138,-0.29385
0159+723,  67,  10,   8,   5,  30.889,  72.548,  -0.00112,  +0.00220, 0.00721, 0.00644, 0.03091
0159-668,   4,   2,   2,   1,  30.282, -66.637,,,,,
0201+088,   5,   0,   0,   0,  31.145,   9.064,  +0.01309,  +0.13183, 0.03669, 0.04974,-0.17313
0201+113, 730,  80,  49,  66,  30.944,  11.579,  +0.00620,  +0.00282, 0.00167, 0.00204,-0.63314
0202+145,   3,   2,   1,   2,  31.305,  14.742,,,,,
0202+149, 892, 104,  70,  77,  31.210,  15.236,  -0.00794,  +0.01905, 0.00205, 0.00312,-0.08835
0202+319, 474, 246, 178, 162,  31.271,  32.208,  +0.01171,  -0.00480, 0.00323, 0.00434,-0.09627
0202-172,  78,  46,  33,  31,  31.240, -17.022,  +0.00322,  -0.05099, 0.00732, 0.01404,-0.01084
0203+625,   3,   4,   2,   2,  31.763,  62.770,,,,,
0206+136,  55,  20,  12,  14,  32.400,  13.867,  +0.00364,  -0.01329, 0.01101, 0.01869,-0.07538
0206-689,   2,   3,   1,   3,  31.962, -68.632,,,,,
0208+106,   4,   1,   0,   1,  32.805,  10.860,,,,,
0208-512, 559,  73,  50,  51,  32.693, -51.017,  +0.00495,  -0.00819, 0.00360, 0.00422,-0.02162
0211+171,  18,   6,   3,   3,  33.687,  17.380,  +0.02892,  +0.10089, 0.04889, 0.06958,-0.28559
0212+735, 973, 371, 263, 221,  34.378,  73.826,  +0.00151,  -0.00413, 0.00129, 0.00124, 0.14282
0212-620,   9,   5,   4,   1,  33.568, -61.826,  -0.21929,  -0.01946, 0.14218, 0.15422, 0.01093
0213-026,   4,   1,   1,   0,  33.925,  -2.382,,,,,
0214-522,   1,   6,   3,   5,  34.013, -52.003,,,,,
0215+015, 270,  54,  35,  35,  34.454,   1.747,  -0.01229,  -0.00737, 0.00405, 0.00627,-0.02803
0216+011,  18,   0,   0,   0,  34.779,   1.350,  -0.02095,  -0.01219, 0.03072, 0.04454, 0.01096
0219+428,  20,   1,   1,   0,  35.665,  43.035,  -0.01568,  -0.00059, 0.01572, 0.01949,-0.02253
0220+427,   6,   0,   0,   0,  35.798,  42.992,  +0.13102,  +0.06253, 0.03538, 0.04009, 0.12958
0220-349,  53,   7,   4,   5,  35.735, -34.691,  -0.01009,  +0.01207, 0.01251, 0.01878,-0.01066
0221+067,  88,  46,  32,  33,  36.118,   6.990,  -0.00370,  -0.01056, 0.00544, 0.00734,-0.31558
0222+185,   5,   0,   0,   0,  36.269,  18.780,  -0.03341,  +0.03648, 0.01848, 0.03728,-0.40229
0223+113,   2,   3,   1,   3,  36.425,  11.574,,,,,
0224+671,  51,  12,   9,   9,  37.209,  67.351,  -0.00235,  -0.00972, 0.00796, 0.00794, 0.06865
0226-559,   3,   5,   2,   4,  37.090, -55.768,,,,,
0227+403,   9,   2,   2,   1,  37.690,  40.548,  -0.02312,  +0.00545, 0.02355, 0.03937,-0.20416
0227-369,  61,  26,  16,  24,  37.369, -36.732,  +0.01606,  -0.01667, 0.01592, 0.02502,-0.04484
0229+131,2433, 508, 280, 372,  37.941,  13.382,  +0.00815,  +0.00270, 0.00085, 0.00136,-0.01510
0229+230,   6,   1,   0,   1,  38.086,  23.299,  -0.01789,  -0.03531, 0.01739, 0.03331,-0.33400
0229-479,   2,   5,   4,   3,  37.799, -47.770,,,,,
0230-790,  93,  20,  11,  16,  37.396, -78.796,  -0.00411,  +0.02331, 0.01133, 0.01224,-0.06377
0234+285,1005, 370, 220, 264,  39.468,  28.802,  +0.00170,  -0.00304, 0.00090, 0.00217,-0.46387
0234-301,  39,  18,  12,  14,  39.130, -29.899,  +0.03208,  +0.06090, 0.02238, 0.03974, 0.02736
0235+164, 899, 112,  76,  73,  39.662,  16.616,  +0.00357,  -0.01099, 0.00175, 0.00264,-0.06583
0235+205,   0,   5,   4,   5,  39.461,  20.772,,,,,
0235-618,  26,   9,   6,   8,  39.222, -61.604,  +0.00537,  -0.01412, 0.02851, 0.04670, 0.47340
0236+610,   9,   1,   1,   0,  40.132,  61.229,  -0.03609,  -0.31601, 0.39301, 0.30782,-0.78955
0237+040,  33,  12,   9,   6,  39.964,   4.273,  +0.00609,  -0.03885, 0.01222, 0.01984,-0.10427
0237-027, 356, 145, 111,  97,  39.939,  -2.578,  +0.00376,  -0.01189, 0.00404, 0.00723,-0.06975
0237-233,  25,  15,  12,   7,  40.034, -23.154,  -0.05311,  +0.00079, 0.01676, 0.03518, 0.29461
0238-084, 231,  47,  26,  30,  40.270,  -8.256,  -0.00475,  -0.01507, 0.00583, 0.00643, 0.07987
